IDSession,TipoEvento,Valor,Tiempo(s)
1,CheckCiudad,lcb1,4
1,CheckCiudad,lcb2,5
1,Scroll,3,6
1,Scroll,9,6
1,Scroll,22,6
1,Scroll,43,6
1,Scroll,72,6
1,Scroll,108,6
1,Scroll,149,6
1,Scroll,188,6
1,Scroll,222,6
1,Scroll,246,6
1,Scroll,260,6
1,Scroll,264,6
1,Scroll,265,6
1,Scroll,269,6
1,Scroll,278,6
1,Scroll,297,6
1,Scroll,326,6
1,Scroll,367,6
1,Scroll,419,6
1,Scroll,477,6
1,Scroll,535,6
1,Scroll,583,6
1,Scroll,616,6
1,Scroll,633,6
1,Scroll,636,6
1,Scroll,638,7
1,Scroll,642,7
1,Scroll,654,7
1,Scroll,674,7
1,Scroll,704,7
1,Scroll,744,7
1,Scroll,792,7
1,Scroll,842,7
1,Scroll,887,7
1,Scroll,922,7
1,Scroll,944,7
1,Scroll,953,7
1,Scroll,954,7
1,Scroll,958,7
1,Scroll,967,7
1,Scroll,987,7
1,Scroll,1016,7
1,Scroll,1057,7
1,Scroll,1105,7
1,Scroll,1157,7
1,Scroll,1204,7
1,Scroll,1240,7
1,Scroll,1262,7
1,Scroll,1271,7
1,Scroll,1272,7
1,Scroll,1273,7
1,Scroll,1279,7
1,Scroll,1291,7
1,Scroll,1312,7
1,Scroll,1341,7
1,Scroll,1378,8
1,Scroll,1419,8
1,Scroll,1459,8
1,Scroll,1493,8
1,Scroll,1518,8
1,Scroll,1532,8
1,Scroll,1537,8
1,CheckHotel,hcb8,8
1,Scroll,1538,9
1,Scroll,1544,9
1,Scroll,1562,9
1,Scroll,1598,9
1,Scroll,1651,9
1,Scroll,1719,9
1,Scroll,1789,9
1,Scroll,1849,9
1,Scroll,1888,9
1,Scroll,1906,9
1,Scroll,1908,9
1,Scroll,1909,9
1,Scroll,1912,9
1,Scroll,1921,9
1,Scroll,1947,9
1,Scroll,1992,9
1,Scroll,2049,9
1,Scroll,2117,9
1,Scroll,2188,9
1,Scroll,2252,9
1,Scroll,2298,9
1,Scroll,2324,9
1,Scroll,2332,9
1,Scroll,2334,10
1,Scroll,2340,10
1,Scroll,2356,10
1,Scroll,2383,10
1,Scroll,2423,10
1,Scroll,2473,10
1,Scroll,2528,10
1,Scroll,2577,10
1,Scroll,2616,10
1,Scroll,2640,10
1,Scroll,2649,10
1,Scroll,2650,10
1,Scroll,2651,10
1,Scroll,2655,10
1,Scroll,2664,10
1,Scroll,2691,10
1,Scroll,2737,10
1,Scroll,2794,10
1,Scroll,2861,10
1,Scroll,2931,10
1,Scroll,2993,10
1,Scroll,3039,10
1,Scroll,3065,10
1,Scroll,3073,10
1,Scroll,3074,10
1,Scroll,3078,10
1,Scroll,3088,10
1,Scroll,3112,10
1,Scroll,3151,10
1,Scroll,3202,10
1,Scroll,3260,10
1,Scroll,3314,10
1,Scroll,3356,10
1,Scroll,3381,10
1,Scroll,3391,10
1,Scroll,3392,10
1,Scroll,3393,10
1,Scroll,3396,10
1,Scroll,3402,10
1,Scroll,3410,10
1,Scroll,3420,10
1,Scroll,3433,10
1,Scroll,3446,10
1,Scroll,3460,11
1,Scroll,3472,11
1,Scroll,3482,11
1,Scroll,3489,11
1,Scroll,3493,11
1,Scroll,3494,11
1,Scroll,3495,11
