IDSession,TipoEvento,Valor,Tiempo(s)
6,Scroll,3495,0
6,Scroll,3493,1
6,Scroll,3490,1
6,Scroll,3484,1
6,Scroll,3475,1
6,Scroll,3462,1
6,Scroll,3445,1
6,Scroll,3426,1
6,Scroll,3406,1
6,Scroll,3384,1
6,Scroll,3362,1
6,Scroll,3341,1
6,Scroll,3322,1
6,Scroll,3307,1
6,Scroll,3295,1
6,Scroll,3288,1
6,Scroll,3284,1
6,Scroll,3283,1
6,Scroll,3282,1
6,Scroll,3281,1
6,Scroll,3275,1
6,Scroll,3260,1
6,Scroll,3235,1
6,Scroll,3197,1
6,Scroll,3147,1
6,Scroll,3087,1
6,Scroll,3025,2
6,Scroll,2973,2
6,Scroll,2936,2
6,Scroll,2916,2
6,Scroll,2912,2
6,Scroll,2911,2
6,Scroll,2907,2
6,Scroll,2899,2
6,Scroll,2881,2
6,Scroll,2853,2
6,Scroll,2813,2
6,Scroll,2761,2
6,Scroll,2703,2
6,Scroll,2644,2
6,Scroll,2595,2
6,Scroll,2562,2
6,Scroll,2544,2
6,Scroll,2541,2
6,Scroll,2540,2
6,Scroll,2537,2
6,Scroll,2529,2
6,Scroll,2512,2
6,Scroll,2484,2
6,Scroll,2444,2
6,Scroll,2393,2
6,Scroll,2333,2
6,Scroll,2274,2
6,Scroll,2225,2
6,Scroll,2191,2
6,Scroll,2173,2
6,Scroll,2170,2
6,Scroll,2169,8
6,Scroll,2166,8
6,Scroll,2159,8
6,Scroll,2143,8
6,Scroll,2117,9
6,Scroll,2084,9
6,Scroll,2045,9
6,Scroll,2001,9
6,Scroll,1956,9
6,Scroll,1915,9
6,Scroll,1884,9
6,Scroll,1863,9
6,Scroll,1853,9
6,Scroll,1852,9
6,Scroll,1851,9
6,Scroll,1850,9
6,Scroll,1844,9
6,Scroll,1830,9
6,Scroll,1802,9
6,Scroll,1763,9
6,Scroll,1718,9
6,Scroll,1669,9
6,Scroll,1617,9
6,Scroll,1569,9
6,Scroll,1529,9
6,Scroll,1501,9
6,Scroll,1486,9
6,Scroll,1481,9
6,Scroll,1480,9
6,Scroll,1479,9
6,Scroll,1473,9
6,Scroll,1458,9
6,Scroll,1430,9
6,Scroll,1388,9
6,Scroll,1334,9
6,Scroll,1271,9
6,Scroll,1209,9
6,Scroll,1159,9
6,Scroll,1126,9
6,Scroll,1111,9
6,Scroll,1110,9
6,Scroll,1109,9
6,Scroll,1107,10
6,Scroll,1101,10
6,Scroll,1087,10
6,Scroll,1060,10
6,Scroll,1020,10
6,Scroll,968,10
6,Scroll,907,10
6,Scroll,845,10
6,Scroll,794,10
6,Scroll,759,10
6,Scroll,741,10
6,Scroll,739,10
6,Scroll,738,10
6,Scroll,735,10
6,Scroll,727,10
6,Scroll,709,10
6,Scroll,675,10
6,Scroll,627,10
6,Scroll,571,10
6,Scroll,511,10
6,Scroll,450,10
6,Scroll,396,10
6,Scroll,354,10
6,Scroll,328,10
6,Scroll,316,10
6,Scroll,315,10
6,CheckCiudad,lcb1,11
6,Scroll,319,12
6,Scroll,325,12
6,Scroll,336,12
6,Scroll,351,13
6,Scroll,371,13
6,Scroll,394,13
6,Scroll,421,13
6,Scroll,451,13
6,Scroll,482,13
6,Scroll,512,13
6,Scroll,537,13
6,Scroll,557,13
6,Scroll,570,13
6,Scroll,578,13
6,Scroll,580,13
6,Scroll,582,13
6,Scroll,586,13
6,Scroll,595,13
6,Scroll,614,13
6,Scroll,641,13
6,Scroll,674,13
6,Scroll,713,13
6,Scroll,757,13
6,Scroll,805,13
6,Scroll,851,13
6,Scroll,892,13
6,Scroll,922,13
6,Scroll,941,13
6,Scroll,950,13
6,Scroll,951,13
6,CheckHotel,hcb2,14
6,Scroll,953,14
6,Scroll,958,14
6,Scroll,969,14
6,Scroll,989,14
6,Scroll,1018,14
6,Scroll,1054,14
6,Scroll,1095,14
6,Scroll,1136,14
6,Scroll,1170,14
